Name,Filter,Category,Tags,Text,Status
Личный дневник,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Легко начать, Не выходя из дома, Расслабляющее",Другое,"защищённость, самопроявление","Общество считает, что дневник - это для 12летних девочек
Нэт🌝. Дневники годами вели Дарвин, Толстой, Дали, Кафка, да Винчи, Черчилль, Эйнштейн, … Моя база данных доворит, что это не 12-летние девочки

Почему дневник - это круто?
Там можно быть абсолютно собой. Говорить то, что тебе очень хочется сказать, а сказать не кому. Дневник помогает излить душу, обдумать на бумаге и принять решение в важных жизненных вопросах

Плюс, дневник это как написание книги о своей жизни. Если день за днём одно и то же, дневник помогает увидеть и признать проблемы, как следствие ставить цели и делать свою жизнь интересней. Также можешь отлистнуть на годы назад и посмотреть кем ты был(-а)

”Лёня, ты меня уговорил попробовать. Как начать?”
Просто взять тетрадь, написать дату и вылиться (Можно и с телефона в приложении типо Diaro/Daylio). Идеальное время отрефлексировать - перед сном. Чтобы не забывать, клади дневник внутри с ручкой так, чтобы заметить перед сном - например на комод возле кровати. Что записывать? Что для тебя важно - события/ настроение. Если в какой-то день вроде бы нечего сказать. Лучше так и написать “1 января. Вроде бы нечего сказать, но чувствую себя __”. В какие-то дни будет литься как из пушки. В общем кол-во строк по настроению",Done
Химия,"Интеллектуально цепляющее, Креативное, Не выходя из дома",Другое,"защищённость, знания, самопроявление","Превращение одних веществ в другие - это весело

Можешь проверить верно ли это утверждение для тебя посмотрев эти каналы:
https://www.youtube.com/@ChemistryEasy
https://www.youtube.com/@Thoisoi",Done
Бег,"Активное, Вне дома, Легко начать",Игры и спорт,"лидерство, приключенчество","Бег освежает, даёт ощущение кайфа и заряд. Ну а то, что улучшает здоровье и тело это вообще шикардос

[Шикарный видос о том как начать](https://www.youtube.com/watch?v=ggVjbqKxIF8)
После просмотра видео подумай можешь ли с кем-то с знакомых бегать. Если да - напиши им, если нет - спланируй когда будет твоя первая тренировка - продумай где разомнёшься и прокрути в голове по какому пути будешь бегать

Да, в первые разы может быть сложновато - расслабься, почти у всех так. Если ты будешь бегать по 2 раза в неделю, совсем скоро ты афигеешь на сколько стало проще. Прийдёт кайф от ветра и бодрость в течении дня",Done
Шахматы,"Бесплатно либо очень низкие затраты, Интеллектуально цепляющее, Креативное, Легко начать, Не выходя из дома, Соревновательное",Игры и спорт,"знания, приключенчество, самопроявление","Шахматы - шикарная интеллектуальная игра, которой можно радовать себя как играми дома онлайн, так и вживую

Если ещё не знаешь правила игры - [можешь посмотреть тут](https://www.youtube.com/watch?v=F4Jt8f7p_x4&ab_channel=AdMe)

[Советую сразу пойти поиграть.](http://chess.com/ru). Самый популярный сайт в мире для игры в шахматы - http://chess.com. Поиграй пару раз и пойми нравится ли тебе. Сайт подстраивает соперников под твой уровень + после игры говорит где у тебя были хитроумные ходы, а где в следующий раз можно сделать и лучше

Если чувствуешь драйв и хочется играть лучше, то на этом же сайте ты сможешь пройти [уроки по началам стратегии](https://www.chess.com/ru/lessons)
Потом можешь начинать ютуб, это ещё сильнее ускорит твоё развитие. 
Если поймёшь, что хочешь ещё большего, то как вариант можешь играя на chess.com читать книги либо обучения в ютубе",Done
Актёрское мастерство (театр),"Активное, Вне дома, Креативное, Социальное",Исполнительское искусство,"приключенчество, самопроявление, слава","Очень рад, что ты сюда кликнул(а) 🙂
Даже если ты никогда не будешь выступать, это топовая вещь. Люди, которые занимались актёрством, становятся открытей, уверенней, лучше понимают себя и окружающих

Как начать?
Без курсов тут никак. Если у тебя есть знакомые, которые занимались и могут подсказать - отлично. Если нет, гугли “актерское мастерство” + свой город и пойди на пробные. Потом реши по собственным ощущениям, где тебе больше нравится 

Существуют ещё альтернативные формы театра, например Плейбек. Возможно тебе они понравятся больше классического театра",Done
Скейтбординг,"Активное, Вне дома, Расслабляющее",Игры и спорт,"приключенчество, самопроявление, слава","Советую начать с того, чтобы опросить друзей у кого есть скейт. Если есть катающийся друг - шикардос. Можно у него долгануть и попросить, чтобы он помог разобраться. Если нет, тут придётся думать над покупкой. 

Если не собираешься делать трюки - советую пенни борд, они компактные, неубиваемые и лучше других скейтов терпят неровную дорогу. Хочешь делать трюки - классический скейт. 

Знаю, что защита выглядит не по-пацански, но новички регулярно падают и стоит носить налокотники, наколенники и шлем хоть первые полторы недели

Где и как кататься?
Кататься лучше в скейтпарке либо в местах с ровной дорогой. Возможно у тебя есть подходящий парк не далеко от дома. Техника катания [на классическом скейте](https://www.youtube.com/watch?v=uulPzAmu_a4), [на пенниборде](https://www.youtube.com/watch?v=GcCudbg7Ieg)",Done
Бильярд,"Активное, Вне дома, Интеллектуально цепляющее, Креативное, Расслабляющее, Соревновательное, Социальное",Игры и спорт,"приключенчество, самопроявление, слава","Видов бильярда огромное кол-во, но самый популярный в мире - это пул (американский бильярд). Это очень умная и красивая игра

Для начала посмотри [правила](https://www.youtube.com/watch?v=2D_9mJvU0GM&ab_channel=%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D0%91%D0%B8%D0%BB%D1%8C%D1%8F%D1%80%D0%B4%D0%B0), если в них не уверен(-а). Потом посмотри в гугл картах ближайшую к дому бильярдную, в идеале посмотреть по картинкам/позвонить спросить есть ли у них стол для пула. Часто бывают заведения с советским “Русским бильярдом”. Вот эта порнография нам абсолютно не нужна

Когда место найдено - зови кого-то с друзей, кому будет прикольно попробовать и вперёд. Часто пул становится еженедельной дружеской традицией - встретиться, пообщаться за жизнь и пойти поиграть. Рекомендую играть 1 на 1, в случае бильярда это интересней, чем командой

Если стало понятно, что пул нравится и хочется в нём развиваться, [рекомендую этот канал](https://www.youtube.com/playlist?list=PLH9d4KFY28XvXZ9aZvLZTmCEq7pw7pPUz)
Плюс можно смотреть [крутейшие моменты с чемпионатов мира](https://www.youtube.com/watch?v=QfKEyPtbVas&ab_channel=genipool)",Done
Медитация,"Бесплатно либо очень низкие затраты, Легко начать, Не выходя из дома, Расслабляющее",Другое,"защищённость, самопроявление","Вопрос №1 - зачем?))))
Я атеистически настроенный бот, поэтому расскажу по факту: медитация помогает прокачать осознанность своих действий. Попрактиковавшись ты начнёшь чаще в жизни замечать как себя накручиваешь, на автомате делаешь то, чего не хочешь. А когда будешь чаще замечать, станешь меньше делать. И жизнь станет чуть лучше

Ещё из плюсов: улучшается сон, консентрацию, узбогаиваешься если был стресс и помогает быстрее отдохнуть

Как делать?
Сядь/ляжь в удобное положение. Закрой глаза и погнали)
Тебе нужно стараться чувствовать как воздух входит/выходит с носа. Сконцентрируйся на этом ощущении стенок ноздрей и теперь время считать. Чувствуешь вдох, чувствуешь выдох. “Один”. Чувствуешь вдох, чувствуешь выдох. “Два”

И так до изначально выставленного числа. Можно начать с 15, потом до 30/45/…

""Эммм, неужели всё так просто?""
Если попробуешь сделать хоть до 15, увидишь, что это просто пипец сложно. В голову из ниоткуда сразу начинают налетаться всякие всякие другие мысли. Подмечай их: ""Семь… Опа, только что я подумал об \_\_\_"". После того как себя запалишь - дай прилетевшей тебе мысли улететь и считай циклы воздуха дальше

Когда досчитаешь до установленного числа открывай глаза. Теперь ты скорее всего чувствуешь себя свежачком
Попробуй прям щас. Удели 3 минуты, чтобы понять что это такое.

Когда медитировать? Можешь поставить себе будильник на определённое время дня например в 15:00 и поставить себе привычку в это время считать например до 50. Либо если у тебя интелектуальная работа, от которой часто мозги плавятся, приучи себя когда чувствуешь что мозг не работает Медитировать до 20. Суперпупер будет помогает.",Done
Готовка,"Креативное, Легко начать, Не выходя из дома, Социальное",Искусство и мастерение,"защищённость, помогахерство, самопроявление","Кулинария - крайне многообразное и вкусное занятие

Если не знаешь с чего начать - листай кулинарные каналы и пробуй - https://www.youtube.com/@oblomoffood
Канал самого известного повара в мире Гордона Рамзи (есть субтитрый на англиканском) - https://www.youtube.com/@gordonramsay/videos

Рассказывать тут нечего. Подумай чего бы тебе хотелось и вперёд в бой по обучениям с интернета",Done
Электроника,"Интеллектуально цепляющее, Креативное, Не выходя из дома",Искусство и мастерение,"защищённость, знания","Электроника поможет понять как работают все волшебные электрические вещи вокруг и чинить их. Плюс самому изобретать приборы, упрощающие жизнь, и делая её прикольней

Для подобных вещей нужны базовые знания в электронике, которые можно получить за одну-две недели, и стремление к созданию вещей. А если вы будете делать это на базе Arduino не помешали бы базовые знания программирования.

Интересный канал, [где человек делает разные проекты](https://www.youtube.com/@AlexGyverShow)
Канал [с роликами по ардуино](https://www.youtube.com/@ArduinoNotes)
Крайне полезный [канал с объяснениями всего и вся](https://www.youtube.com/@radiolubitelTV)",Done
Страйкбол (Airsoft),"Активное, Вне дома, Соревновательное, Социальное",Игры и спорт,"лидерство, приключенчество","test",Done
